prop_key,prop_value
Thiruvannamalai,thiruvannamalai_tamil_nadu
Thiruvarur,thiruvarur_tamil_nadu
Thoothukkudi,thoothukkudi_tamil_nadu
Tindivanam,tindivanam_tamil_nadu
Tiruchirappalli,tiruchirappalli_tamil_nadu
Tirunelveli,tirunelveli_tamil_nadu
Tiruppur,tiruppur_tamil_nadu
Tiruvallur,tiruvallur_tamil_nadu
Tuticorin,tuticorin_tamil_nadu
Vellore,vellore_tamil_nadu
Villupuram,villupuram_tamil_nadu
Virudhunagar,virudhunagar_tamil_nadu
Agartala,agartala_tripura
Dhalai,dhalai_tripura
Udaipur,udaipur_tripura
Agra,agra_uttar_pradesh
Aligarh,aligarh_uttar_pradesh
Allahabad,allahabad_uttar_pradesh
Auraiya,auraiya_uttar_pradesh
Azamgarh,azamgarh_uttar_pradesh
Baghpat,baghpat_uttar_pradesh
Bahraich,bahraich_uttar_pradesh
Ballia,ballia_uttar_pradesh
Balrampur,balrampur_uttar_pradesh
Barabanki,barabanki_uttar_pradesh
Bareilly,bareilly_uttar_pradesh
Basti,basti_uttar_pradesh
Bijnor,bijnor_uttar_pradesh
Budaun,budaun_uttar_pradesh
Bulandshahar,bulandshahar_uttar_pradesh
Chitrakoot,chitrakoot_uttar_pradesh
Deoria,deoria_uttar_pradesh
Etah,etah_uttar_pradesh
Etawah,etawah_uttar_pradesh
Faizabad,faizabad_uttar_pradesh
Farrukhabad,farrukhabad_uttar_pradesh
Fatehabad,fatehabad_uttar_pradesh
Firozabad,firozabad_uttar_pradesh
Gautam Budh Nagar,gautam_budh_nagar_uttar_pradesh
Ghaziabad,ghaziabad_uttar_pradesh
Ghazipur,ghazipur_uttar_pradesh
Gonda,gonda_uttar_pradesh
Gorakhpur,gorakhpur_uttar_pradesh
Greater Noida,greater_noida_uttar_pradesh
Hamirpur,hamirpur_uttar_pradesh
Hapur,hapur_uttar_pradesh
Hardoi,hardoi_uttar_pradesh
Hathras,hathras_uttar_pradesh
Jalaun,jalaun_uttar_pradesh
Jaunpur,jaunpur_uttar_pradesh
Jhansi,jhansi_uttar_pradesh
JP Nagar,jp_nagar_uttar_pradesh
Kannauj,kannauj_uttar_pradesh
Kanpur,kanpur_uttar_pradesh
Kheri,kheri_uttar_pradesh
Kushinagar,kushinagar_uttar_pradesh
Lalitpur,lalitpur_uttar_pradesh
Lucknow,lucknow_uttar_pradesh
Mahoba,mahoba_uttar_pradesh
Mahona,mahona_uttar_pradesh
Mainpuri,mainpuri_uttar_pradesh
Mathura,mathura_uttar_pradesh
Mau,mau_uttar_pradesh
Meerut,meerut_uttar_pradesh
Mirzapur,mirzapur_uttar_pradesh
Moradabad,moradabad_uttar_pradesh
Muzaffarnagar,muzaffarnagar_uttar_pradesh
Noida,noida_uttar_pradesh
Pilibhit,pilibhit_uttar_pradesh
Pratapgarh,pratapgarh_uttar_pradesh
Rae Bareli,rae_bareli_uttar_pradesh
Rampur,rampur_uttar_pradesh
Saharanpur,saharanpur_uttar_pradesh
Shahjahanpur,shahjahanpur_uttar_pradesh
Shikohabad,shikohabad_uttar_pradesh
Siddharth Nagar,siddharth_nagar_uttar_pradesh
Sitapur,sitapur_uttar_pradesh
Sonbhadra,sonbhadra_uttar_pradesh
Sultanpur,sultanpur_uttar_pradesh
Unnao,unnao_uttar_pradesh
Varanasi,varanasi_uttar_pradesh
Almora,almora_uttaranchal
Bageshwar,bageshwar_uttaranchal
Bazpur,bazpur_uttaranchal
Chamoli,chamoli_uttaranchal
Champawat,champawat_uttaranchal
Dehradun,dehradun_uttaranchal
Haridwar,haridwar_uttaranchal
Kashipur,kashipur_uttaranchal
Mussorie,mussorie_uttaranchal
Nainital,nainital_uttaranchal
New Tehri,new_tehri_uttaranchal
Pithoragarh,pithoragarh_uttaranchal
Pouri Gharwal,pouri_gharwal_uttaranchal
Roorkee,roorkee_uttaranchal
Rudrapur,rudrapur_uttaranchal
Srinagar,srinagar_uttaranchal
Udham Singh Nagar,udham_singh_nagar_uttaranchal
Uttarkashi,uttarkashi_uttaranchal
24 Parganas North,24_parganas_north_west_bengal
24 Parganas South,24_parganas_south_west_bengal
Asansol,asansol_west_bengal
Aurangabad,aurangabad_west_bengal
Bankura,bankura_west_bengal
Barddhaman,barddhaman_west_bengal
Birbhum,birbhum_west_bengal
Darjeeling,darjeeling_west_bengal
Dinajpur,dinajpur_west_bengal
Durgapur,durgapur_west_bengal
Hooghly-Chinsura,hooghly_chinsura_west_bengal
Howrah,howrah_west_bengal
Jalpaiguri,jalpaiguri_west_bengal
Koch Bihar,koch_bihar_west_bengal
Kolkata,kolkata_west_bengal
Malda,malda_west_bengal
Medinipur,medinipur_west_bengal
Murshidabad,murshidabad_west_bengal
Nadia,nadia_west_bengal
Puruliya,puruliya_west_bengal
Siliguri,siliguri_west_bengal
